Source Barcode,Destination Barcode,Qpix Source Well,Human Source Well,Destination Well,Project ID,Sample Name,Source Agar Plate Barcode,Destination Plate Name
SDSOURCE-00167-110320231,SDDEST-00167-110320231,B3,C2,G5,00167,scooby 9,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,B3,C2,H5,00167,scooby 9,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,B3,C2,H5,00167,scooby 9,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,B4,D2,A6,00167,scooby 10,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,B4,D2,A6,00167,scooby 10,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,B4,D2,B6,00167,scooby 10,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,B4,D2,B6,00167,scooby 10,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-103120232,SDDEST-00167-103120232,B4,D2,C6,00167,,,
SDSOURCE-00167-103120232,SDDEST-00167-103120232,B4,D2,D6,00167,,,
SDSOURCE-00167-110320231,SDSTAMP-00167-110320231,B5,E2,E6,00167,Shaggy 1,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDSTAMP-00167-110320231,B5,E2,E6,00167,Shaggy 1,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDSTAMP-00167-110320231,B5,E2,F6,00167,Shaggy 1,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDSTAMP-00167-110320231,B5,E2,F6,00167,Shaggy 1,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDSTAMP-00167-110320231,B5,E2,G6,00167,Shaggy 1,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDSTAMP-00167-110320231,B5,E2,G6,00167,Shaggy 1,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDSTAMP-00167-110320231,B5,E2,H6,00167,Shaggy 1,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDSTAMP-00167-110320231,B5,E2,H6,00167,Shaggy 1,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDSTAMP-00167-110320231,B6,F2,A7,00167,Shaggy 2,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDSTAMP-00167-110320231,B6,F2,A7,00167,Shaggy 2,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDSTAMP-00167-110320231,B6,F2,B7,00167,Shaggy 2,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDSTAMP-00167-110320231,B6,F2,B7,00167,Shaggy 2,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDSTAMP-00167-110320231,B6,F2,C7,00167,Shaggy 2,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDSTAMP-00167-110320231,B6,F2,C7,00167,Shaggy 2,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDSTAMP-00167-110320231,B6,F2,D7,00167,Shaggy 2,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDSTAMP-00167-110320231,B6,F2,D7,00167,Shaggy 2,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDSTAMP-00167-110320231,B7,G2,E7,00167,,,
SDSOURCE-00167-110320231,SDSTAMP-00167-110320231,B7,G2,F7,00167,,,
